V_DC,I_25C,V_25C,I_50C,V_50C,I_100C,V_100C,I_150C,V_150C,I_200C,V_200C,I_-30C,V_-30C
0.505,0.0001,0.506,0.0001,0.506,0.0001,0.506,0.0001,0.5042,0.0001,0.504,0.0001,0.506
1.005,0.0001,1.006,0.0001,1.006,0.0001,1.006,0.0002,1.0042,0.0004,1.0039,0.0001,1.0059
1.504,0.0002,1.505,0.0002,1.505,0.0002,1.503,0.0002,1.5036,0.0005,1.5032,0.0002,1.5052
2.004,0.0002,2.005,0.0002,2.005,0.0002,2.004,0.0003,2.003,0.0007,2.0028,0.0002,2.0048
2.504,0.0003,2.505,0.0003,2.505,0.0003,2.504,0.0004,2.5036,0.0008,2.531,0.0003,2.5052
3.005,0.0003,3.006,0.0003,3.006,0.0005,3.004,0.0004,3.0042,0.001,3.0038,0.0003,3.006
5.005,0.0007,5.007,0.0007,5.005,0.0007,5.004,0.0009,5.0045,0.0018,5.0039,0.0006,5.006
6.004,0.0009,6.006,0.0009,6.006,0.0009,6.005,0.0012,6.005,0.0022,6.004,0.0009,6.006
7.004,0.001,7.006,0.0011,7.006,0.001,7.005,0.0014,7.005,0.0027,7.005,0.0011,7.006
8.004,0.00126,8.006,0.0013,8.006,0.0013,8.005,0.0017,8.005,0.0031,8.005,0.0013,8.007
9.002,0.00145,9.004,0.0015,9.004,0.0015,9.003,0.0019,9.002,0.0035,9.003,0.0015,9.004
10.003,0.00165,10.006,0.0017,10.006,0.0017,10.005,0.0021,10.004,0.004,10.003,0.0017,10.006
11.001,0.00185,11.003,0.0019,11.003,0.0019,11.003,0.0024,11.002,0.0044,11.001,0.0019,11.004
12.003,0.0021,12.006,0.0021,12.006,0.0021,12.005,0.0027,12.005,0.0049,12.003,0.0021,12.006
13.005,0.0023,13.008,0.0023,13.007,0.0023,13.007,0.0029,13.006,0.0053,13.005,0.0023,13.008
14.003,0.0025,14.006,0.0025,14.006,0.0026,14.006,0.0032,14.004,0.0058,14.003,0.0025,14.007
15.004,0.0027,15.007,0.0027,15.006,0.0028,15.006,0.0035,15.006,0.0063,15.003,1.31,14.677
15.5,0.65,15.343,0.0028,15.503,0.0029,15.502,0.0036,15.501,0.0067,15.5,3.11,14.717
16.003,2.45,15.39,0.9,15.694,0.0031,16.005,0.0039,16.005,0.0071,16.003,4.88,14.763
17.003,6.1,15.485,4.87,15.795,2.84,16.308,0.91,16.787,0.0101,17.003,8.51,14.86
19.004,13.32,15.67,12.17,15.978,10.28,16.481,4.66,16.987,6.67,17.417,15.63,15.032
20.005,16.83,15.777,15.81,16.074,13.98,16.57,12.06,17.062,10.35,17.5,19.17,15.128
